Epoch [1/50], Accuracy: 89.19%
Epoch [2/50], Accuracy: 94.33%
Epoch [3/50], Accuracy: 95.74%
Epoch [4/50], Accuracy: 96.48%
Epoch [5/50], Accuracy: 96.96%
Epoch [6/50], Accuracy: 97.25%
Epoch [7/50], Accuracy: 97.58%
Epoch [8/50], Accuracy: 97.80%
Epoch [9/50], Accuracy: 97.96%
Epoch [10/50], Accuracy: 98.24%
Epoch [11/50], Accuracy: 98.29%
Epoch [12/50], Accuracy: 98.37%
Epoch [13/50], Accuracy: 98.54%
Epoch [14/50], Accuracy: 98.66%
Epoch [15/50], Accuracy: 98.65%
Epoch [16/50], Accuracy: 98.72%
Epoch [17/50], Accuracy: 98.88%
Epoch [18/50], Accuracy: 98.86%
Epoch [19/50], Accuracy: 98.94%
Epoch [20/50], Accuracy: 98.99%
Epoch [21/50], Accuracy: 99.05%
Epoch [22/50], Accuracy: 99.14%
Epoch [23/50], Accuracy: 99.17%
Epoch [24/50], Accuracy: 99.25%
Epoch [25/50], Accuracy: 99.29%
Epoch [26/50], Accuracy: 99.23%
Epoch [27/50], Accuracy: 99.35%
Epoch [28/50], Accuracy: 99.25%
Epoch [29/50], Accuracy: 99.37%
Epoch [30/50], Accuracy: 99.45%
Epoch [31/50], Accuracy: 99.29%
Epoch [32/50], Accuracy: 99.36%
Epoch [33/50], Accuracy: 99.45%
Epoch [34/50], Accuracy: 99.42%
Epoch [35/50], Accuracy: 99.45%
Epoch [36/50], Accuracy: 99.48%
Epoch [37/50], Accuracy: 99.45%
Epoch [38/50], Accuracy: 99.46%
Epoch [39/50], Accuracy: 99.52%
Epoch [40/50], Accuracy: 99.46%
Epoch [41/50], Accuracy: 99.54%
Epoch [42/50], Accuracy: 99.47%
Epoch [43/50], Accuracy: 99.47%
Epoch [44/50], Accuracy: 99.54%
Epoch [45/50], Accuracy: 99.56%
Epoch [46/50], Accuracy: 99.55%
Epoch [47/50], Accuracy: 99.60%
Epoch [48/50], Accuracy: 99.54%
Epoch [49/50], Accuracy: 99.57%
Epoch [50/50], Accuracy: 99.64%
Test Accuracy: 97.51%
